"age","sex","category","population"
81,"Naiset","v1990",299
81,"Naiset","v2010",378
81,"Naiset","v2024",422
82,"Naiset","v1990",227
82,"Naiset","v2010",355
82,"Naiset","v2024",327
83,"Naiset","v1990",238
83,"Naiset","v2010",313
83,"Naiset","v2024",385
84,"Naiset","v1990",162
84,"Naiset","v2010",286
84,"Naiset","v2024",305
85,"Naiset","v1990",148
85,"Naiset","v2010",259
85,"Naiset","v2024",339
86,"Naiset","v1990",144
86,"Naiset","v2010",230
86,"Naiset","v2024",261
87,"Naiset","v1990",116
87,"Naiset","v2010",236
87,"Naiset","v2024",237
88,"Naiset","v1990",82
88,"Naiset","v2010",167
88,"Naiset","v2024",241
89,"Naiset","v1990",61
89,"Naiset","v2010",174
89,"Naiset","v2024",215
90,"Naiset","v1990",69
90,"Naiset","v2010",109
90,"Naiset","v2024",158
91,"Naiset","v1990",43
91,"Naiset","v2010",85
91,"Naiset","v2024",132
92,"Naiset","v1990",31
92,"Naiset","v2010",70
92,"Naiset","v2024",115
93,"Naiset","v1990",19
93,"Naiset","v2010",61
93,"Naiset","v2024",90
94,"Naiset","v1990",17
94,"Naiset","v2010",40
94,"Naiset","v2024",92
95,"Naiset","v1990",6
95,"Naiset","v2010",36
95,"Naiset","v2024",56
96,"Naiset","v1990",5
96,"Naiset","v2010",27
96,"Naiset","v2024",31
97,"Naiset","v1990",2
97,"Naiset","v2010",16
97,"Naiset","v2024",19
98,"Naiset","v1990",2
98,"Naiset","v2010",14
98,"Naiset","v2024",24
99,"Naiset","v1990",1
99,"Naiset","v2010",5
99,"Naiset","v2024",16
100,"Naiset","v1990",1
100,"Naiset","v2010",10
100,"Naiset","v2024",22
